web-scraper-order,web-scraper-start-url,paginator,brand-name
"1647964226-4","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","","Made by Shannon"
"1647964230-26","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=2","Wolfram Lohr"
"1647964265-172","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=10","Project Lip"
"1647964244-105","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=5","BRANCH JEWELLERY"
"1647964257-157","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=8","Banyan Jewellery"
"1647964238-81","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=4","Emily Smith"
"1647964261-165","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=9","Hues&Co"
"1647964253-133","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=7","Katiico Jewellery"
"1647964234-56","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=3","Laura Sherratt Designs"
"1647964230-32","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=2","Madame LA LA"
"1647964253-136","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=7","Asgard"
"1647964265-173","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=10","Grenouille"
"1647964234-65","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=3","Earth To You London"
"1647964238-76","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=4","Oxi-Gin"
"1647964234-51","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=3","Powder Butterfly"
"1647964244-106","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=5","Corinne Lapierre Limited"
"1647964253-149","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=7","Piccadilly Greetings Group"
"1647964248-127","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=6","Home County Candle Co."
"1647964253-138","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=7","A House Like This (AHLT)"
"1647964226-10","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","","Pebblechild"
"1647964234-58","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=3","Sleep-No-More"
"1647964261-168","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=9","Melissa Choroszewska Ceramics"
"1647964253-147","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=7","Lesser Spotted Images Ltd"
"1647964230-34","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=2","The School of Life"
"1647964226-21","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","","Sweethearts & Darlings"
"1647964226-1","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","","The Bristle Brush Company London ltd"
