,Unnamed: 0,websites,Unnamed: 0,handles,Unnamed: 0,followers,Unnamed: 0,crm
145,145,linkin.bio/waytoplaytoys,145,@waytoplaytoys,145,120k followers,145,S
146,146,www.im-yogi.com,146,@imyogi.kids,146,"7,591 followers",146,U
147,147,error loading websitis,147,no handle found,147,error loading followers,147,website could not be loaded
148,148,www.yu-elements.nl,148,@yu_elements_,148,141 followers,148,S
149,149,roseahstudio.com,149,@RoseahStudio,149,564 followers,149,S
150,150,www.etsy.com/shop/SigilStoneStudioEtsy,150,@sigilstonestudio,150,451 followers,150,U
151,151,www.ducett.com,151,@ducettjewelry,151,13.5k followers,151,S
152,152,www.deoldekruyk.nl,152,@deoldekruyk,152,261 followers,152,W
153,153,zodiacglamshop.com,153,@zodiacglamshop,153,"1,186 followers",153,S
154,154,patriciabos.com,154,@patriciabosdesigns,154,18.2k followers,154,S
155,155,linktr.ee/SillyGooseIllustraties,155,@sillygoose.illustraties,155,386 followers,155,S
156,156,www.etsy.com/shop/berbendesign,156,@berbendesign,156,"4,082 followers",156,U
157,157,www.etsy.com/shop/Graphecx,157,@graphecx,157,44 followers,157,U
158,158,www.stellalunaaarte.com,158,@stellalunaarte,158,"2,624 followers",158,S
159,159,linktr.ee/studiosophh,159,@studiosophh,159,"1,381 followers",159,S
160,160,www.heketa.nl,160,@Heketa.nl,160,"1,013 followers",160,U
161,161,www.naturalheroes.nl,161,@naturalheroes,161,17.3k followers,161,S
162,162,www.dewyvenerius.com/instagram-links,162,@dewycreations,162,724 followers,162,W
163,163,www.candyfreaks.com,163,@candy.freaks,163,"1,876 followers",163,S
164,164,www.senzatempo.nl/shop,164,@shopsenzatempo,164,441 followers,164,U
165,165,error loading websitis,165,no handle found,165,error loading followers,165,website could not be loaded
166,166,bit.ly/3tpL8jq,166,@relix_care,166,93 followers,166,S
167,167,dutchteamaestro.com/inspiratie,167,@dutchteamaestro,167,502 followers,167,W
168,168,www.lily-flame.co.uk/browse/c-Gifts-16/c-Mothers-Day-Gifts-36/?sortby=new-additions,168,@lilyflame_official,168,"4,823 followers",168,U
169,169,www.hetwolfeetje.nl,169,@het_wol_feetje,169,"1,802 followers",169,S
170,170,error loading websitis,170,@www.instagram.com,170,error loading followers,170,website could not be loaded
171,171,error loading websitis,171,no handle found,171,error loading followers,171,website could not be loaded
172,172,mynameissanderdekker.com,172,@iamsanderdekker,172,11.1k followers,172,U
173,173,www.labelspruit.nl,173,@label.spruit,173,"7,083 followers",173,S
174,174,mayli-jewels.com,174,@maylijewels,174,"7,421 followers",174,W
175,175,www.opticcolors.com,175,@opticcolorslenses,175,57.5k followers,175,S
176,176,error loading websitis,176,no handle found,176,error loading followers,176,website could not be loaded
177,177,error loading websitis,177,no handle found,177,error loading followers,177,website could not be loaded
178,178,www.elateandco.com,178,@elateandco,178,672 followers,178,U
179,179,error loading websitis,179,no handle found,179,error loading followers,179,website could not be loaded
180,180,linktr.ee/thegoodroll,180,@thegoodroll,180,15.7k followers,180,S
181,181,error loading websitis,181,@www.instagram.com,181,error loading followers,181,website could not be loaded
182,182,www.kids-ware.nl,182,@kidswarelifestyle,182,"2,822 followers",182,W
183,183,www.getekenddoorzusje.nl/webshop,183,@getekenddoorzusje,183,"4,068 followers",183,U
184,184,linktr.ee/beastofparadise,184,@beastofparadise,184,"1,462 followers",184,S
185,185,error loading websitis,185,@youall_honest_body_care,185,error loading followers,185,website could not be loaded
186,186,www.lettersandlines.nl,186,@lettersandlines.nl,186,"1,047 followers",186,W
187,187,error loading websitis,187,no handle found,187,error loading followers,187,website could not be loaded
188,188,miskabags.com/instagram-links,188,@miskabags,188,"7,207 followers",188,U
